block_number,miner_reward,fee_recipient_eth_diff,miner,fee_recipient,coinbase_transfers,eth_sent_to_fee_recipient,gas_used,gas_price,effective_priority_fee
15748815,41994346174714086,41994346174714086,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5346751662971356,5346751662971356,13464230,3118956388,3118956388
15748816,102387413119706505,102387413119706505,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,28940610,3537845716,3537845716
15748817,102557325482581325,102557325482581325,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,4167106393953001,4167106393953001,2117195,48440188779,48440188779
15748820,71908611189036293,71908611189036293,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1597422962886382,1597422962886382,20792529,3458386961,3458386961
15748821,47205458831206479,47205458831206479,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,8953785399628541,8953785399628541,9846150,4794306285,4794306285
15748822,43889968646013919,43889968646013919,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10680815,4109234046,4109234046
15748825,30527874325308549,30527874325308549,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,1234495,24729038453,24729038453
15748836,45974256780499311,45974256780499311,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,11528648,3987827261,3987827261
15748846,41764141978763723,41764141978763723,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,19399394,2152858072,2152858072
15748848,35083155899457460,35083155899457460,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,9098851814671319,9098851814671319,5130641,6837967400,6837967400
15748851,48538875111839730,48538875111839730,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14272416,3400887075,3400887075
15748858,167854744849500510,167854744849500510,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,15236485,11016631778,11016631778
15748861,38410234896207138,38410234896207138,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12431712,3089697935,3089697935
15748866,60164413308005962,60164413308005962,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10707075,5619126914,5619126914
15748870,109387834113958497,109387834113958497,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,17461301216600000,17461301216600000,22085606,4952901637,4952901637
15748871,77962537759540883,77962537759540883,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1031263854454105,1031263854454105,16622870,4690076849,4690076849
15748872,50819119151408805,50819119151408805,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,2134832,23804739272,23804739272
15748879,135265360987515876,135265360987515876,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,3007469574288116,3007469574288116,13727471,9853625696,9853625696
15748881,172899470044048694,172899470044048694,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,16671455,10370988617,10370988617
15748885,105419082412664400,105419082412664400,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,656661613790000,656661613790000,2682679,39296196977,39296196977
15748888,321814894348535348,321814894348535348,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,27841113,11558980934,11558980934
15748893,178264397740081445,178264397740081445,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1636860405400000,1636860405400000,16498533,10804863543,10804863543
15748899,644801748866224405,644801748866224405,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14114918,45682287978,45682287978
15748903,184872608435443479,184872608435443479,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,15414253,11993614509,11993614509
15748908,68246324016930779,68246324016930779,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,16441173,4150940082,4150940082
15748910,127454460536706512,127454460536706512,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,101235338648172575,101235338648172575,5632049,22630211586,22630211586
15748913,131176357884406755,131176357884406755,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,10000000000000000,10000000000000000,23800157,5511575317,5511575317
15748917,29004642377159972,29004642377159972,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12181727,2380995927,2380995927
15748920,114049180714254651,114049180714254651,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,11437906870802272,11437906870802272,29857844,3819739319,3819739319
15748928,88671819866274705,88671819866274705,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1425556059217184,1425556059217184,18954140,4678229656,4678229656
15748929,7088548404176389,7088548404176389,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,1128205,6283032254,6283032254
15748933,940277048745168294,940277048745168294,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,41389888362466905,41389888362466905,25947200,36238093079,36238093079
15748936,87281094134581918,87281094134581918,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10512754,8302400506,8302400506
15748945,27279184230061276,27279184230061276,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,943578128060899,943578128060899,6832783,3992397275,3992397275
15748953,35280378396778375,35280378396778375,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,55866161272317,55866161272317,14417646,2447027649,2447027649
15748962,92238477156935239,92238477156935239,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,647363388709793,647363388709793,12125968,7606689804,7606689804
15748967,31388811912170624,31388811912170624,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,10321804091217498,10321804091217498,10756939,2918005941,2918005941
15748974,21886051707485072,21886051707485072,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9547781,2292265784,2292265784
15748987,252241040525039714,252241040525039714,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5785681451680211,5785681451680211,12717116,19834767609,19834767609
15748988,54132025758536971,54132025758536971,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,21386687,2531108523,2531108523
15748990,332382735409191291,332382735409191291,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,729479770210240,729479770210240,18817533,17663459679,17663459679
15748992,34179880764515427,34179880764515427,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,515125116562284,515125116562284,11905200,2871004331,2871004331
15748994,140236899738542672,140236899738542672,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9669883,14502440178,14502440178
15748997,76557464475558033,76557464475558033,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13051860,5865636351,5865636351
15749000,43427612260292858,43427612260292858,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14673902,2959513581,2959513581
15749010,25893096802939190,25893096802939190,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,38448345880598,38448345880598,7978549,3245339071,3245339071
15749018,37857739874691736,37857739874691736,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,125160076311510,125160076311510,15010970,2522004898,2522004898
15749027,57153736535542824,57153736535542824,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,17072425623046507,17072425623046507,15259250,3745514133,3745514133
15749029,35623500074883934,35623500074883934,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,4946529634458597,4946529634458597,12532434,2842504502,2842504502
15749037,132693316445266571,132693316445266571,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,12987316087979002,12987316087979002,24909232,5327073771,5327073771
15749039,276228625374893041,276228625374893041,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,34800184698007817,34800184698007817,3613693,76439427858,76439427858
15749044,81809931324168598,81809931324168598,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,656661887050000,656661887050000,24383126,3355186341,3355186341
15749045,61014608321635933,61014608321635933,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12316519,4953884155,4953884155
15749046,40193292677565549,40193292677565549,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,231720219427229,231720219427229,12967974,3099427302,3099427302
15749047,81540570214706165,81540570214706165,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,39752558868182248,39752558868182248,6116386,13331495136,13331495136
15749052,117808196728960841,117808196728960841,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,11462509636320518,11462509636320518,22923084,5139282163,5139282163
15749055,23003208822604425,23003208822604425,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,2742831,8386666485,8386666485
15749057,101025188790482124,101025188790482124,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,17090889617868701,17090889617868701,19021458,5311116991,5311116991
15749058,16482586104029626,16482586104029626,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,39864354546421,39864354546421,5971470,2760222542,2760222542
15749059,27657250088777916,27657250088777916,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,7231116,3824755416,3824755416
15749060,31797403021636970,31797403021636970,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,2151802077778012,2151802077778012,22516525,1412180743,1412180743
15749068,20071188185374125,20071188185374125,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9033695,2221813796,2221813796
15749069,18014596558239091,18014596558239091,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,796398,22620092665,22620092665
15749070,13649191457280996,13649191457280996,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,793198,17207798629,17207798629
15749079,56070058458727930,56070058458727930,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,6402854809587797,6402854809587797,22354770,2508192142,2508192142
15749082,420876883113985083,420876883113985083,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,278850851725030533,278850851725030533,23871911,17630632215,17630632215
15749106,31114215760140123,31114215760140123,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10531238,2954468957,2954468957
15749111,68792139127282508,68792139127282508,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,23790360,2891597232,2891597232
15749116,41265653159875958,41265653159875958,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,7005198,5890719028,5890719028
15749118,58045017203279879,58045017203279879,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,3309198,17540508970,17540508970
15749119,40826407544243390,40826407544243390,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13014553,3136981158,3136981158
15749120,34495417787523764,34495417787523764,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,11247937,3066821745,3066821745
15749122,33539832410230208,33539832410230208,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,518997115587027,518997115587027,10162722,3300280418,3300280418
15749125,20285680337855785,20285680337855785,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,8890583,2281704173,2281704173
15749128,85436990066233062,85436990066233062,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,21029267553014404,21029267553014404,17232319,4957950817,4957950817
15749129,6085890990369969,6085890990369969,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,238803,25484985491,25484985491
15749130,37414058519757174,37414058519757174,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,4082314828259918,4082314828259918,12701028,2945750416,2945750416
15749135,73224043449948408,73224043449948408,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,60145152860708268,60145152860708268,2119899,34541288735,34541288735
15749136,30550336965612792,30550336965612792,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9974245,3062922252,3062922252
15749137,21331046499607501,21331046499607501,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10327698,2065421209,2065421209
15749139,47580749588027529,47580749588027529,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,461195680595109,461195680595109,15341070,3101527441,3101527441
15749141,43799733728978338,43799733728978338,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,19077426,2295893257,2295893257
15749144,63896095580550669,63896095580550669,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,17317543,3689674429,3689674429
15749146,32490148535822516,32490148535822516,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5533810762441544,5533810762441544,10223129,3178102177,3178102177
15749147,35061420398010802,35061420398010802,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,6720227,5217297034,5217297034
15749152,675934508624132207,675934508624132207,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,6360614271323258,6360614271323258,27907965,24220128863,24220128863
15749154,171980880498696765,171980880498696765,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,12188773829877208,12188773829877208,21601336,7961585362,7961585362
15749156,133700979051970311,133700979051970311,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,32381848300751683,32381848300751683,24573578,5440842967,5440842967
15749160,280397297917458155,280397297917458155,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,30854056393288330,30854056393288330,9327476,30061433330,30061433330
15749162,40059951745719833,40059951745719833,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,806541499977770,806541499977770,14025963,2856128434,2856128434
15749163,129019619183362208,129019619183362208,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,106725541184459808,106725541184459808,1429436,90259108615,90259108615
15749172,124028112788807010,124028112788807010,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,11205444435642148,11205444435642148,15627781,7936386668,7936386668
15749180,449431347968323212,449431347968323212,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,818255473658845,818255473658845,11165629,40251323769,40251323769
15749181,37272811170386523,37272811170386523,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,2881447014677167,2881447014677167,10488295,3553753128,3553753128
15749184,82290418611216570,82290418611216570,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,22469886,3662253498,3662253498
